breed,attribute_labels,popularity,height,weight,life_exp,group,image_url,puppy_link,grooming_frequency,shedding,energy_level,trainability,demeanor,colors,mask,rescue_link
french-bulldog,"Adaptable, Playful, Smart",Ranks 4 of 197,11-13 inches,under 28 pounds,10-12 years,Non-Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/31120615/French-Bulldog-standing-in-profile-outdoors-in-the-fall.jpg,http://marketplace.akc.org/puppies/french-bulldog/,Occasional Bath/Brush,Regularly,Calm,Agreeable,Alert/Responsive,"['Brindle', 'Brindle & White', 'Cream', 'Fawn', 'Fawn & White', 'Fawn Brindle', 'White', 'White & Brindle', 'White & Fawn', 'Cream & White', 'Fawn Brindle & White']","['Black Mask', 'Black Markings', 'Brindle Markings', 'Piebald', 'White Markings', 'Ticked']",http://frenchbulldogclub.org
french-spaniel,"Gentle, Sociable, Intelligent",-1,21.5-24 inches,50-60 pounds,10-12 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27114220/French-Spaniel-Gallery-01.jpg,https://marketplace.akc.org/puppies/french-spaniel,-1,-1,-1,-1,-1,"['Brown', 'White & Brown']","['Roan', 'Spotted or Patched']",https://sites.google.com/site/frenchspanielsintheusa/
german-longhaired-pointer,"Versatile, Calm, Family-Oriented",-1,22-28 inches,55-80 pounds,12-14 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12210613/German-Longhaired-Pointer-on-White-01.jpg,https://marketplace.akc.org/puppies/german-longhaired-pointer,Occasional Bath/Brush,-1,Energetic,Eager to Please,Friendly,['Brown & White'],"['Roan', 'Speckled']",http://www.germanlonghairpointers.com/
german-pinscher,"Courageous, Intelligent, Vivacious",Ranks 134 of 197,17-20 inches,25-45 pounds,12-14 years,Working Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233117/German-Pinscher-On-White-01.jpg,https://marketplace.akc.org/puppies/german-pinscher,Occasional Bath/Brush,Occasional,Needs Lots of Activity,Agreeable,Alert/Responsive,"['Black', 'Blue', 'Brown', 'Fawn (Isabella)', 'Red']","['Red & Tan Markings', 'Red Markings', 'Tan Markings']",https://germanpinscher.org
german-shepherd-dog,"Confident, Courageous, Smart",Ranks 2 of 197,"24-26 inches (male), 22-24 inches (female)","65-90 pounds (male), 50-70 pounds (female)",12-14 years,Herding Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213218/German-Shepherd-on-White-00.jpg,http://marketplace.akc.org/puppies/german-shepherd-dog,Weekly Brushing,Regularly,Regular Exercise,Eager to Please,Alert/Responsive,"['Bi-Color', 'Black', 'Black & Cream', 'Black & Red', 'Black & Silver', 'Black & Tan', 'Blue', 'Gray', 'Liver', 'Sable', 'White']",[],https://www.gsdca.org/
german-shorthaired-pointer,"Friendly, Smart, Willing to Please",Ranks 9 of 197,"23-25 inches (male), 21-23 inches (female)","55-70 pounds (male), 45-60 pounds (female)",10-12 years,Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232941/German-Shorthaired-Pointer-On-White-07.jpg,http://marketplace.akc.org/puppies/german-shorthaired-pointer,Weekly Brushing,Regularly,Needs Lots of Activity,Eager to Please,Friendly,"['Black', 'Black & White', 'Black Roan', 'Liver', 'Liver & White', 'Liver Roan', 'White & Liver']","['Patched', 'Patched & Ticked', 'Ticked']",http://www.gspca.org/
german-spitz,"Devoted, Lively, Attentive",-1,12-15 inches,24-26 pounds,13-15 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12185947/German-Spitz-on-White-01-1.jpg,https://marketplace.akc.org/puppies/german-spitz,2-3 Times a Week Brushing,Seasonal,Regular Exercise,Eager to Please,Reserved with Strangers,"['Black', 'Black & Tan', 'Brown', 'Cream', 'Orange', 'Red', 'White', 'Wolfgray']","['Parti-Color', 'Sable']",-1
german-wirehaired-pointer,"Affectionate, Eager, Enthusiastic",Ranks 63 of 197,"24-26 inches (male), minimum 22 inches (female)",50-70 pounds,14-16 years,Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/22105856/German-Wirehaired-Pointer-standing-in-a-green-grassy-field.jpg,https://marketplace.akc.org/puppies/german-wirehaired-pointer,Weekly Brushing,Regularly,Needs Lots of Activity,Eager to Please,Reserved with Strangers,"['Liver', 'Liver & White', 'Black & White']","['Roan', 'Roan & Ticked', 'Spotted', 'Ticked']",https://gwpca.com
giant-schnauzer,"Loyal, Alert, Trainable",Ranks 78 of 197,"25.5-27.5 inches (male), 23.5-25.5 inches (female)","60-85 pounds (male), 55-75 pounds (female)",12-15 years,Working Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/22112234/Giant-Schanuzer-standing-in-a-field.jpg,https://marketplace.akc.org/puppies/giant-schnauzer,Daily Brushing,-1,Needs Lots of Activity,Easy Training,Alert/Responsive,"['Black', 'Pepper & Salt', 'Black & Tan', 'Fawn']",[],http://www.giantschnauzerclubofamerica.com/
glen-of-imaal-terrier,"Gentle, Spirited, Bold",Ranks 174 of 197,12.5-14 inches,32-40 pounds,10-15 years,Terrier Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232815/Glen-of-Imaal-Terrier-On-White-01.jpg,https://marketplace.akc.org/puppies/glen-of-imaal-terrier,2-3 Times a Week Brushing,Occasional,Regular Exercise,Independent,Alert/Responsive,"['Blue Brindle', 'Wheaten']",[],http://www.glens.org/
golden-retriever,"Friendly, Intelligent, Devoted",Ranks 3 of 197,"23-24 inches (male), 21.5-22.5 inches (female)","65-75 pounds (male), 55-65 pounds (female)",10-12 years,Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/22133117/Golden-Retriever-wading-into-a-lake.jpg,http://marketplace.akc.org/puppies/golden-retriever/,Weekly Brushing,Seasonal,Needs Lots of Activity,Eager to Please,Friendly,"['Dark Golden', 'Golden', 'Light Golden']",[],https://grca.org
gordon-setter,"Affectionate, Confident, Bold",Ranks 115 of 197,"24-27 inches (male), 23-26 inches (female)","55-80 pounds (male), 45-70 pounds (female)",12-13 years,Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28145458/Gordon-Setter.3.jpg,https://marketplace.akc.org/puppies/gordon-setter,Weekly Brushing,Seasonal,Needs Lots of Activity,Independent,Reserved with Strangers,"['Black & Tan', 'Red', 'Tan']",[],https://www.gsca.org/
grand-basset-griffon-vendeen,"Independent, Happy, Outgoing",Ranks 177 of 197,15.5-18 inches,40-45 pounds,13-15 years,Hound Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/31171741/GBGV.2.jpg,https://marketplace.akc.org/puppies/grand-basset-griffon-vendeen,Weekly Brushing,Seasonal,Needs Lots of Activity,Independent,Friendly,"['Black & Tan', 'Fawn', 'White & Black', 'White & Gray', 'White & Grizzle', 'White & Lemon', 'White & Orange', 'White & Sable', 'White Black & Tan']",[],https://www.gbgv.net/
great-dane,"Friendly, Patient, Dependable",Ranks 16 of 197,"30-32 inches (male), 28-30 inches (female)","140-175 pounds (male), 110-140 pounds (female)",7-10 years,Working Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232605/Great-Dane-On-White-01.jpg,https://marketplace.akc.org/puppies/great-dane,Occasional Bath/Brush,Seasonal,Energetic,Agreeable,Alert/Responsive,"['Black', 'Black & White', 'Blue', 'Brindle', 'Fawn', 'Harlequin', 'Mantle', 'Merle', 'White', 'Blue & White', 'Blue Brindle', 'Chocolate', 'Chocolate & White', 'Chocolate Brindle', 'Mantle Merle', 'Merlequin', 'Silver']","['Black Markings', 'Black Mask', 'White Markings', 'Blue Markings', 'Blue Mask', 'Brindle Markings', 'Chocolate Markings', 'Chocolate Mask', 'Fawn Markings', 'Merle Markings', 'Piebald']",https://gdca.org
great-pyrenees,"Smart, Patient, Calm",Ranks 66 of 197,"27-32 inches (male), 25-29 inches (female)","100 pounds & up (male), 85 pounds & up (female)",10-12 years,Working Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12212201/Great-Pyrenees-on-White-04.jpg,https://marketplace.akc.org/puppies/great-pyrenees,Weekly Brushing,Seasonal,Needs Lots of Activity,Independent,Reserved with Strangers,['White'],"['Badger Markings', 'Gray Markings', 'Reddish Brown Markings', 'Tan Markings']",https://www.gpcaonline.org
greater-swiss-mountain-dog,"Faithful, Family-Oriented, Dependable",Ranks 74 of 197,"25.5-28.5 inches (male), 23.5-27 inches (female)","115-140 pounds (male), 85-110 pounds (female)",8-11 years,Working Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/25154225/Greater-Swiss-Mountain-Dog-laying-down-in-the-grass.jpg,https://marketplace.akc.org/puppies/greater-swiss-mountain-dog,Weekly Brushing,Seasonal,Energetic,Agreeable,Alert/Responsive,"['Black, White & Red', 'Blue White & Tan', 'Red & White']",[],http://www.gsmdca.org/
greyhound,"Gentle, Independent, Noble",Ranks 145 of 197,"28-30 inches (male), 27-28 inches (female)","65-70 pounds (male), 60-65 pounds (female)",10-13 years,Hound Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03144628/Greyhound-running.jpg,https://marketplace.akc.org/puppies/greyhound,Occasional Bath/Brush,Occasional,Energetic,Independent,Friendly,"['Black', 'Black Brindle', 'Blue', 'Blue Brindle', 'Blue Fawn', 'Red', 'Red Brindle', 'White', 'White & Black', 'White & Black Brindle', 'White & Blue', 'White & Blue Brindle', 'White & Blue Fawn', 'White & Red', 'White & Red Brindle', 'Black & White', 'Black Brindle & White', 'Blue & White', 'Blue Brindle & White', 'Blue Fawn & White', 'Fawn', 'Fawn & White', 'Liver', 'Liver & White', 'Liver Brindle', 'Red & White', 'Red Brindle & White', 'White & Fawn', 'White & Liver', 'White & Liver Brindle']","['Black Mask', 'Parti-Color', 'Solid', 'Ticked']",https://www.greyhoundclubofamericainc.org
hamiltonstovare,"Agile, Versatile, Regal",-1,19-24 inches,40-75 pounds,14-17 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20110654/Hamiltonstovare-on-White-011.jpg,https://marketplace.akc.org/puppies/hamiltonstovare,Occasional Bath/Brush,Infrequent,Energetic,Agreeable,Friendly,['Tri-Colored'],[],https://www.hamiltonstovare.org/
hanoverian-scenthound,"Loyal, Independent, Calm",-1,19-21 inches,79-99 pounds,10-14 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03190519/Hanoverian-Scenthound.1.jpg,https://marketplace.akc.org/puppies/hanoverian-scenthound,Occasional Bath/Brush,Infrequent,Regular Exercise,Independent,Reserved with Strangers,"['Red', 'Brindle']",['Black Mask'],-1
harrier,"Friendly, Outgoing, People-Oriented",Ranks 189 of 197,19-21 inches,45-60 pounds,12-15 years,Hound Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/22174432/Harrier3.jpg,https://marketplace.akc.org/puppies/harrier,Weekly Brushing,Occasional,Needs Lots of Activity,Easy Training,Friendly,"['Black White & Tan', 'Lemon & White', 'Red & White']",[],http://www.harrierclubofamerica.com/
havanese,"Intelligent, Outgoing, Funny",Ranks 24 of 197,8.5-11.5 inches,7-13 pounds,14-16 years,Toy Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27130852/Havanese-standing-outdoors.jpg,https://marketplace.akc.org/puppies/havanese,2-3 Times a Week Brushing,Occasional,Regular Exercise,Easy Training,Outgoing,"['Black', 'Black & Silver', 'Black & Tan', 'Black Brindle', 'Chocolate', 'Cream', 'Fawn', 'Gold', 'Gold Brindle', 'Gold Sable', 'Red', 'Red Brindle', 'Red Sable', 'Silver', 'Silver Brindle', 'White', 'Black & Silver Brindle', 'Black & Tan Brindle', 'Blue', 'Blue Brindle', 'Chocolate Brindle', 'Chocolate Sable', 'Fawn Brindle', 'Fawn Sable', 'Silver Sable']","['Cream Markings', 'Irish Pied', 'Parti Belton', 'Parti-Color', 'Silver Markings', 'Silver Points', 'Tan Points', 'White Markings']",https://www.havanese.org
hokkaido,"Dignified, Alert, Devoted",-1,18-20 inches,44-66 pounds,12-15 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30144758/Hokkaido.1.jpg,https://marketplace.akc.org/puppies/hokkaido,Weekly Brushing,Seasonal,Energetic,-1,-1,"['Black', 'Black & Tan', 'Brindle', 'Red', 'Red Sesame', 'Sesame', 'White']",[],https://www.hokkaidoken.org
hovawart,"Alert, Faithful, Intelligent",-1,23-28 inches,65-90 pounds,10-14 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02174018/Hovawart.10.jpg,https://marketplace.akc.org/puppies/hovawart,Occasional Bath/Brush,Seasonal,Regular Exercise,May be Stubborn,Reserved with Strangers,"['Black', 'Blonde']",['Gold Markings'],http://www.hovawartclub.org/
ibizan-hound,"Family-Oriented, Even-Tempered, Polite",Ranks 152 of 197,"23.5-27.5 inches (male), 22.5-26 inches (female)","50 pounds (male), 45 pounds (female)",11-14 years,Hound Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232219/Ibizan-Hound-On-White-01.jpg,https://marketplace.akc.org/puppies/ibizan-hound,Occasional Bath/Brush,Occasional,Needs Lots of Activity,Independent,Reserved with Strangers,"['Red', 'Red & White', 'White', 'White & Red']",['White Markings'],https://ihcus.org
icelandic-sheepdog,"Friendly, Playful, Inquisitive",Ranks 155 of 197,"18 inches (male), 16.5 inches (female)","30 pounds (male), 25 pounds (female)",12-14 years,Herding Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/14115933/Icelandic-Sitting.jpg,https://marketplace.akc.org/puppies/icelandic-sheepdog,Weekly Brushing,Seasonal,Energetic,Eager to Please,Friendly,"['Black & White', 'Chocolate & White', 'Cream & White', 'Fawn & White', 'Gold & White', 'Gray & White', 'Red & White', 'Sable & White', 'Tan & White', 'White Tan & Black', 'Black', 'Chocolate', 'Chocolate & Tan', 'Cream', 'Fawn', 'Golden', 'Gray', 'Red', 'Sable', 'Tan']","['Black Markings', 'Black Mask', 'Chocolate Markings', 'Cream Markings', 'Gray Markings', 'Piebald', 'Reddish Brown Markings', 'Tan Markings', 'White Markings']",http://icelanddogs.com/
irish-red-and-white-setter,"Courageous, Spirited, Determined",Ranks 146 of 197,"24.5-26 inches (male), 22.5-24 inches (female)","60-70 pounds (male), 45-55 pounds (female)",11-15 years,Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09104847/Irish-Red-and-White-Setter-stalking-in-a-field.jpg,https://marketplace.akc.org/puppies/irish-red-and-white-setter,Weekly Brushing,-1,Needs Lots of Activity,Easy Training,Friendly,['White'],['Red Patched'],https://www.irishredwhitesetterassociation.com
irish-setter,"Active, Outgoing, Sweet-Natured",Ranks 77 of 197,"27 inches (male), 25 inches (female)","70 pounds (male), 60 pounds (female)",12-15 years,Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/22124811/Irish-Setter-on-point-in-a-field.jpg,https://marketplace.akc.org/puppies/irish-setter,2-3 Times a Week Brushing,Seasonal,Needs Lots of Activity,Agreeable,Outgoing,"['Chestnut', 'Mahogany', 'Red']",[],https://www.irishsetterclub.org/
irish-terrier,"Bold, Dashing, Tenderhearted",Ranks 116 of 197,18 inches,"27 pounds (male), 25 pounds (female)",13-15 years,Terrier Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27230925/Irish-Terriers-sitting-together.jpg,https://marketplace.akc.org/puppies/irish-terrier,Occasional Bath/Brush,-1,Regular Exercise,Agreeable,Alert/Responsive,"['Red', 'Red Wheaten', 'Wheaten']",[],http://www.itca.info/
irish-water-spaniel,"Playful, Hardworking, Brave",Ranks 159 of 197,"22-24 inches (male), 21-23 inches (female)","55-68 pounds (male), 45-58 pounds (female)",12-13 years,Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231921/Irish-Water-Spaniel-On-White-01.jpg,https://marketplace.akc.org/puppies/irish-water-spaniel,Weekly Brushing,Seasonal,Needs Lots of Activity,Easy Training,Reserved with Strangers,['Liver'],[],https://www.iwsca.org/
irish-wolfhound,"Courageous, Dignified, Calm",Ranks 76 of 197,"32 inches minimum (male), 30 inches minimum (female)","120 pounds (male), 105 pounds (female)",6-8 years,Hound Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03161220/Irish-Wolfhound-standing-in-a-field.jpg,https://marketplace.akc.org/puppies/irish-wolfhound,Weekly Brushing,Seasonal,Regular Exercise,Independent,Alert/Responsive,"['Black', 'Blue', 'Brindle', 'Cream', 'Gray', 'Gray & Brindle', 'Red', 'Red & Brindle', 'Red Wheaten', 'Silver', 'Wheaten', 'Wheaten & Brindle', 'White']","['Black Markings', 'Gray Markings', 'White Markings']",http://www.iwclubofamerica.org
italian-greyhound,"Playful, Alert, Sensitive",Ranks 73 of 197,13-15 inches,7-14 pounds,14-15 years,Toy Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20155017/Two-Italian-Greyhounds.jpg,https://marketplace.akc.org/puppies/italian-greyhound,Occasional Bath/Brush,Seasonal,Regular Exercise,Independent,Aloof/Wary,"['Black', 'Blue', 'Blue Fawn', 'Cream', 'Fawn', 'Red', 'Red Fawn', 'Sable', 'Seal', 'White & Black', 'White & Blue', 'White & Blue Fawn', 'White & Fawn', 'White & Red', 'White & Red Fawn', 'White & Sable', 'White & Seal', 'Black', 'Black & Tan', 'Blue & Tan', 'Brindle', 'Chocolate', 'White']","['Black Mask', 'Blue Mask', 'White Markings', 'White Markings, Black Mask', 'White Markings, Blue Mask']",http://italiangreyhound.org/
jagdterrier,"Courageous, Intelligent, Hardworking",-1,13-16 inches,17-22 pounds,10-12 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/23184645/Jagdterrier.4.jpg,https://marketplace.akc.org/puppies/jagdterrier,-1,-1,-1,-1,-1,"['Black', 'Black & Gray', 'Dark Brown']",['Tan Markings'],-1
japanese-akitainu,"Dignified, Alert, Reserved",-1,"25-27 1/2 inches (male), 22 1/2-25 inches (female)","65-75 pounds (male), 55-65 pounds (female)",10-12 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2020/11/07124019/Japanese-Akitainu-standing-in-the-forest.jpg,https://marketplace.akc.org/puppies/japanese-akitainu,Occasional Bath/Brush,Seasonal,Regular Exercise,Independent,Alert/Responsive,"['Brindle', 'Red', 'White']",['White Markings'],-1
japanese-chin,"Charming, Noble, Loving",Ranks 104 of 197,8-11 inches,7-11 pounds,10-12 years,Toy Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20164850/Japanese-Chin-standing-outdoors.jpg,https://marketplace.akc.org/puppies/japanese-chin,Weekly Brushing,Seasonal,Regular Exercise,Independent,Reserved with Strangers,"['Black & White', 'Lemon & White', 'Sable & White', 'White & Black', 'Black White & Tan']",[],https://japanesechinclub.org
japanese-spitz,"Loyal, Playful, Smart",-1,12-15 inches,10-25 pounds,12-14 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2019/06/28104840/Japanese-Spitz.4.jpg,https://marketplace.akc.org/puppies/japanese-spitz,Weekly Brushing,Occasional,Regular Exercise,Easy Training,Friendly,['White'],[],http://www.japanesespitzamerica.com
japanese-terrier,"Independent, Curious, Reserved",-1,11-13 inches,5-10 pounds,12-15 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2020/12/22144751/Japanese-Terrier-standing-in-three-quarter-view.jpg,https://marketplace.akc.org/puppies/japanese-terrier,Weekly Brushing,Occasional,Regular Exercise,Agreeable,Reserved with Strangers,"['White', 'Black Tan & White']","['Black Spots', 'Tan Markings', 'Black Markings']",-1
jindo,"Alert, Intelligent, Bold",-1,18-22 inches,30-50 pounds,~14 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03201430/Jindo.1.jpg,https://marketplace.akc.org/puppies/jindo,Weekly Brushing,Seasonal,Energetic,Independent,Reserved with Strangers,"['Black & Tan', 'Brindle', 'Fawn', 'Gray', 'White']",[],http://www.jindos.org/
kai-ken,"Loyal, Agile, Keen",-1,15.5-19.5 inches,20-40 pounds,12-15 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28123020/Kai-Ken.5.jpg,https://marketplace.akc.org/puppies/kai-ken,Occasional Bath/Brush,Seasonal,Energetic,Independent,Reserved with Strangers,"['Black Brindle', 'Gray Brindle', 'Red Brindle']",[],http://www.kaisociety.org
karelian-bear-dog,"Loyal, Independent, Courageous",-1,19-23.5 inches,44-49 pounds,11-13 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04224543/Karelian-Bear-Dog.jpg,https://marketplace.akc.org/puppies/karelian-bear-dog,Occasional Bath/Brush,Seasonal,Calm,-1,-1,['Black'],['White Markings'],http://www.akbda.com
keeshond,"Friendly, Lively, Outgoing",Ranks 95 of 197,"18 inches (male), 17 inches (female)",35-45 pounds,12-15 years,Non-Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28142535/Keeshond-exploring-in-the-backyard.jpg,https://marketplace.akc.org/puppies/keeshond,2-3 Times a Week Brushing,Seasonal,Regular Exercise,Easy Training,Friendly,"['Black & Silver', 'Gray & Black', 'Gray Cream & Black', 'Gray Silver & Black', 'Silver & Black', 'Wolfgray & Black', 'Black', 'Gray', 'Silver', 'Tawny', 'White', 'Wolfgray']",[],https://www.keeshond.org
kerry-blue-terrier,"Smart, Alert, People-Oriented",Ranks 129 of 197,"18-19.5 inches (male), 17.5-19 inches (female)","33-40 pounds (male), females weigh slightly less than males",12-15 years,Terrier Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28183206/Kerry-Blue-Terrier-standing-stacked-outdoors.jpg,https://marketplace.akc.org/puppies/kerry-blue-terrier,2-3 Times a Week Brushing,-1,Regular Exercise,May be Stubborn,Alert/Responsive,"['Black', 'Blue', 'Blue & Black', 'Blue & Gray', 'Blue & Silver', 'Silver', 'Silver Blue', 'Slate Blue', 'Gray']",[],http://www.uskbtc.com/
kishu-ken,"Faithful, Noble, Docile",-1,17-22 inches,30-60 pounds,11-13 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09134724/Kishu-Ken.3.jpg,https://marketplace.akc.org/puppies/kishu-ken,Occasional Bath/Brush,Seasonal,Energetic,Independent,Reserved with Strangers,"['Red', 'Sesame', 'White']",[],http://www.kishuken-nel.com/kishu.html
komondor,"Loyal, Dignified, Brave",Ranks 173 of 197,"27.5 minimum inches (male), 25.5 minimum inches (female)","100 pounds or more (male), 80 pounds or more (female)",10-12 years,Working Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03233449/Komondor-standing-in-the-park.jpg,https://marketplace.akc.org/puppies/komondor,Specialty/Professional,Seasonal,Regular Exercise,Independent,Reserved with Strangers,['White'],[],http://komondorclubofamerica.org/
kromfohrlander,"Intelligent, Active, Sensitive",-1,15-18 inches,20-35 pounds,13-15 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/07133650/Kromfohrlander.6.jpg,https://marketplace.akc.org/puppies/kromfohrlander,2-3 Times a Week Brushing,Regularly,Regular Exercise,Agreeable,Reserved with Strangers,"['White & Brown', 'White & Tan']",[],http://www.kromiclub.com/
kuvasz,"Loyal, Fearless, Courageous",Ranks 163 of 197,"28-30 inches (male), 26-28 inches (female)","100-115 pounds (male), 70-90 pounds (female)",10-12 years,Working Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/05132204/Kuvasz-standing-outdoors.jpg,https://marketplace.akc.org/puppies/kuvasz,Weekly Brushing,Regularly,Regular Exercise,Independent,Reserved with Strangers,['White'],[],https://kuvaszclubofamerica.org/
labrador-retriever,"Friendly, Active, Outgoing",Ranks 1 of 197,"22.5-24.5 inches (male), 21.5-23.5 inches (female)","65-80 pounds (male), 55-70 pounds (female)",10-12 years,Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29150201/Labrador-Retrievers-three-colors.jpg,https://marketplace.akc.org/puppies/labrador-retriever?breed=152&page=1,Weekly Brushing,Regularly,Needs Lots of Activity,Eager to Please,Outgoing,"['Black', 'Chocolate', 'Yellow']",['White Markings'],https://thelabradorclub.com
lagotto-romagnolo,"Affectionate, Keen, Undemanding",Ranks 99 of 197,"17-19 inches (male), 16-18 inches (female)","28.5-35 pounds (male), 24-31 pounds (female)",15-17 years,Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04123313/Lagotto-Romagnolo-standing-by-a-pond.jpg,https://marketplace.akc.org/puppies/lagotto-romagnolo,Occasional Bath/Brush,Infrequent,Regular Exercise,Eager to Please,Alert/Responsive,"['Brown', 'Brown Roan', 'Off-White', 'Orange', 'Orange Roan', 'Sable', 'White']","['Brown Mask', 'Bown Markings', 'Orange Markings', 'Tan Markings', 'White Markings']",https://www.lagottous.com
lakeland-terrier,"Friendly, Confident, Bold",Ranks 147 of 197,"14-15 inches (male), slightly smaller (female)","17 pounds (male), slightly smaller (female)",12-15 years,Terrier Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30180513/Lakeland-Terrier-standing-stacked-outdoors.jpg,https://marketplace.akc.org/puppies/lakeland-terrier,Weekly Brushing,Infrequent,Regular Exercise,Agreeable,Alert/Responsive,"['Black', 'Black & Tan', 'Blue', 'Blue & Tan', 'Grizzle & Tan', 'Liver', 'Red', 'Red Grizzle', 'Wheaten', 'Brindle', 'Grizzle', 'Liver & Tan']",[],http://usltc.org/
lancashire-heeler,"Affectionate, Versatile, Intelligent",-1,10-12 inches,9-17 pounds,12-15 years,Miscellaneous Class,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30165210/Lancashire-heeler.1.jpg,https://marketplace.akc.org/puppies/lancashire-heeler,Occasional Bath/Brush,Seasonal,Energetic,Easy Training,Friendly,"['Black & Tan', 'Liver & Tan']",[],https://www.unitedstateslancashireheelerclub.com/
lapponian-herder,"Friendly, Energetic, Intelligent",-1,18-20 inches,70 pounds,10-14 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03092437/lapponian-herder-1-800x600.jpg,https://marketplace.akc.org/puppies/lapponian-herder,Weekly Brushing,Seasonal,Regular Exercise,Eager to Please,Reserved with Strangers,"['Black', 'Gray', 'Liver']",['White Markings'],https://www.facebook.com/lapinporokoira.akc
