breed,attribute_labels,popularity,height,weight,life_exp,group,image_url,puppy_link,grooming_frequency,shedding,energy_level,trainability,demeanor,colors,mask,rescue_link
braque-du-bourbonnais,"Affectionate, Adaptable, Gentle",-1,19-22.5 inches,35-53 pounds,10-12 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01230324/Bourbonnais.jpg,https://marketplace.akc.org/puppies/braque-du-bourbonnais,Occasional Bath/Brush,-1,Regular Exercise,Eager to Please,Alert/Responsive,"['Chestnut', 'Fawn']",['Ticked'],-1
braque-francais-pyrenean,"Friendly, Smart, Willing to Please",-1,18.5-23 inches,40-55 pounds,-1,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/18142815/Braque-Francais-Pyrenean.jpg,https://marketplace.akc.org/puppies/braque-francais-pyrenean,Occasional Bath/Brush,Seasonal,Needs Lots of Activity,-1,-1,"['Chestnut', 'White & Chestnut']","['Roan', 'Tan Points', 'Ticked']",-1
briard,"Confident, Smart, Faithful",Ranks 132 of 197,"23-27 inches (male), 22-25.5 inches (female)",55-100 pounds,12 years,Herding Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/25172951/Briard-standing-in-the-grass.jpg,https://marketplace.akc.org/puppies/briard,Daily Brushing,Infrequent,Regular Exercise,Independent,Reserved with Strangers,"['Black', 'Gray', 'Tawny', 'Black & Gray', 'Black & Tawny', 'Tawny & Gray', 'White']",['White Markings'],https://www.briardclubofamerica.org
brittany,"Bright, Fun-Loving, Upbeat",Ranks 26 of 197,17.5-20.5 inches,30-40 pounds,12-14 years,Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19033403/Brittany-1.jpg,https://marketplace.akc.org/puppies/brittany,2-3 Times a Week Brushing,Seasonal,Needs Lots of Activity,Eager to Please,Friendly,"['Liver & White', 'Liver Roan', 'Liver White & Orange', 'Orange & White', 'Orange Roan', 'White & Liver', 'White & Orange', 'Black & White', 'Black White & Orange', 'Blue Roan', 'White Black & Orange']","['Roan', 'Spotted', 'Ticked']",http://www.theamericanbrittanyclub.org/
broholmer,"Friendly, Watchful, Loving",-1,27.5-29.5 inches,90-150 pounds,8-10 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235434/Broholmer-On-White-01.jpg,https://marketplace.akc.org/puppies/broholmer,Occasional Bath/Brush,Seasonal,Calm,-1,-1,"['Black', 'Red Golden', 'Yellow']","['Black Mask', 'White Markings']",http://broholmersusa.homestead.com
brussels-griffon,"Loyal, Alert, Curious",Ranks 98 of 197,7-10 inches,8-10 pounds,12-15 years,Toy Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01164202/Brussels-Griffon-sitting-outdoors.jpg,https://marketplace.akc.org/puppies/brussels-griffon,2-3 Times a Week Brushing,Seasonal,Regular Exercise,Agreeable,Friendly,"['Belge', 'Black', 'Black & Tan', 'Red', 'Blue', 'Brown', 'Chocolate', 'Tan', 'Wheaten']",[],https://abga.club/
bull-terrier,"Playful, Charming, Mischievous",Ranks 62 of 197,21-22 inches,50-70 pounds,12-13 years,Terrier Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213126/bull-terrier-on-white-10.jpg,https://marketplace.akc.org/puppies/bull-terrier,Weekly Brushing,Seasonal,Energetic,Independent,Friendly,"['Black & Tan', 'Black Brindle', 'Black Brindle & White', 'Black Tan & White', 'Brindle', 'Brindle & White', 'Red', 'Red & White', 'White', 'White & Black Brindle', 'White & Brindle', 'White & Red', 'White Black & Tan', 'Fawn', 'Fawn & White', 'Fawn Smut', 'Fawn Smut & White', 'Red Smut', 'Red Smut & White', 'White & Fawn', 'White & Fawn Smut', 'White & Red Smut']",[],https://www.btca.com
bulldog,"Friendly, Courageous, Calm",Ranks 5 of 197,14-15 inches,"50 pounds (male), 40 pounds (female)",8-10 years,Non-Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/11234019/Bulldog-standing-in-the-grass.jpg,http://marketplace.akc.org/puppies/bulldog/,2-3 Times a Week Brushing,Regularly,Regular Exercise,Agreeable,Friendly,"['Fallow', 'Fawn', 'Fawn & Brindle', 'Fawn & White', 'Fawn Brindle & White', 'Red', 'Red & White', 'Red Brindle', 'Red Brindle & White', 'White']","['Black Mask', 'Black Tips', 'Brindle', 'Piebald', 'Ticked', 'White Markings']",http://www.bulldogclubofamerica.org/
bullmastiff,"Affectionate, Loyal, Brave",Ranks 51 of 197,"25-27 inches (male), 24-26 inches (female)","110-130 pounds (male), 100-120 pounds (female)",7-9 years,Working Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/22123345/Bullmastiff-standing-in-a-field.jpg,https://marketplace.akc.org/puppies/bullmastiff,Occasional Bath/Brush,Seasonal,Energetic,Agreeable,Alert/Responsive,"['Fawn', 'Fawn Brindle', 'Red', 'Red Brindle', 'Red Fawn', 'Red Fawn Brindle']","['Black Mask', 'Black Markings', 'Black Mask, White Markings', 'Fawn Mask']",http://www.bullmastiff.us/
cairn-terrier,"Alert, Cheerful, Busy",Ranks 69 of 197,"10 inches (male), 9.5 inches (female)","14 pounds (male), 13 pounds (female)",13-15 years,Terrier Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12164822/Cairn-Terrier-sitting-in-the-grass.jpg,https://marketplace.akc.org/puppies/cairn-terrier,Weekly Brushing,Occasional,Regular Exercise,Agreeable,Friendly,"['Black', 'Black Brindle', 'Brindle', 'Cream', 'Cream Brindle', 'Gray', 'Gray Brindle', 'Red', 'Red Brindle', 'Silver', 'Wheaten', 'Red Wheaten', 'Silver Brindle', 'Silver Wheaten', 'Wheaten Brindle']","['Black Markings', 'Black Mask', 'Black Points']",http://www.cairnterrier.org/
